SCENARIO 0,,,PRODUCTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMPORTS,MARGINS PAID,,,,,TAXES LESS SUBSIDIES,MARGINS SUPPLIED,INTERMEDIARY CONSUMPTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FINAL CONSUMPTION,,INVESTMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXPORTS,STOCKS,,SCENARIO 2,,,PRODUCTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMPORTS,MARGINS PAID,,,,,TAXES LESS SUBSIDIES,MARGINS SUPPLIED,INTERMEDIARY CONSUMPTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FINAL CONSUMPTION,,INVESTMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXPORTS,STOCKS
VOLUME 2015,,,sagr,sfor,sfoo,sveh,sgla,spap,sche,spla,smet,sigo,scgo,scon,srai,sroa,swat,sair,spri,spub,smin,soil,sbfu,sgas,sbga,senu,seoi,sega,seco,sewi,seso,sehy,sech,seot,,crai,croa,cwat,cair,cpri,,,sagr,sfor,sfoo,sveh,sgla,spap,sche,spla,smet,sigo,scgo,scon,srai,sroa,swat,sair,spri,spub,smin,soil,sbfu,sgas,sbga,senu,seoi,sega,seco,sewi,seso,sehy,sech,seot,HOUSEHOLDS,GOVERNMENT,sagr,sfor,sfoo,sveh,sgla,spap,sche,spla,smet,sigo,scgo,scon,srai,sroa,swat,sair,spri,spub,smin,soil,sbfu,sgas,sbga,senu,seoi,sega,seco,sewi,seso,sehy,sech,seot,,,,VOLUME 2015,,,sagr,sfor,sfoo,sveh,sgla,spap,sche,spla,smet,sigo,scgo,scon,srai,sroa,swat,sair,spri,spub,smin,soil,sbfu,sgas,sbga,senu,seoi,sega,seco,sewi,seso,sehy,sech,seot,,crai,croa,cwat,cair,cpri,,,sagr,sfor,sfoo,sveh,sgla,spap,sche,spla,smet,sigo,scgo,scon,srai,sroa,swat,sair,spri,spub,smin,soil,sbfu,sgas,sbga,senu,seoi,sega,seco,sewi,seso,sehy,sech,seot,HOUSEHOLDS,GOVERNMENT,sagr,sfor,sfoo,sveh,sgla,spap,sche,spla,smet,sigo,scgo,scon,srai,sroa,swat,sair,spri,spub,smin,soil,sbfu,sgas,sbga,senu,seoi,sega,seco,sewi,seso,sehy,sech,seot,,
,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108
TOTAL,cagr,1,69947.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.99992271000001,7.000069644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12973,113.6629527,1307.623424,4.381768537,10.12928311,20543.20257,750.5,0,14897.5517,171.2815088,37977.82818,0,0,0,57.23255314,218.9576751,0,0,222.3260033,130.9219307,0,0,0,0,1676.673266,36.25105827,0,0,3.69188184,0,0.1156848621,9.545363505999999,0.1900326578,0.272325785,0.1993197708,0.4936118567,0.1794468209,1.381416421,1.384500494,0.022549548,31638,0,357.8959846,4.127592827,930.893117,0,0,0,1.475861021,5.241066544,0,0,5.401360572,4.944701243,0,0,0,0,53.48151999,0.9116338143,0,0,0.0950918132,0,0.00436907457,0.3605001051,0.00718471648,0.0104406,0.00948534423,0.018666992,0.00678616455,0.0522409214,0.0615433263,0.000853357982,15809,1507,,TOTAL,cagr,1,69947.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.99992271000001,7.000069644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12973,113.6629527,1307.623424,4.381768537,10.12928311,20543.20257,750.5,0,14897.5517,171.2815088,37977.82818,0,0,0,57.23255314,218.9576751,0,0,222.3260033,130.9219307,0,0,0,0,1676.673266,36.25105827,0,0,3.69188184,0,0.1156848621,9.545363505999999,0.1900326578,0.272325785,0.1993197708,0.4936118567,0.1794468209,1.381416421,1.384500494,0.022549548,31638,0,357.8959846,4.127592827,930.893117,0,0,0,1.475861021,5.241066544,0,0,5.401360572,4.944701243,0,0,0,0,53.48151999,0.9116338143,0,0,0.0950918132,0,0.00436907457,0.3605001051,0.00718471648,0.0104406,0.00948534423,0.018666992,0.00678616455,0.0522409214,0.0615433263,0.000853357982,15809,1507
COMMODITIES,cfor,2,0,690.2688805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.99988567,22.00001486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.7766463,1.030828899,11.8590621,0.0397390137,0.0918642135,186.3098432,-2.57568284,0,0,399.4922082,0,0,0,0,0,0,0,0.06704353070000001,289.3843384,35.58303631,0,0,0,0,2.184798539,19.30565307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.78437654,250.9996272,,COMMODITIES,cfor,2,0,690.2688805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.99988567,22.00001486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.7766463,1.030828899,11.8590621,0.0397390137,0.0918642135,186.3098432,-2.57568284,0,0,399.4922082,0,0,0,0,0,0,0,0.06704353070000001,289.3843384,35.58303631,0,0,0,0,2.184798539,19.30565307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.78437654,250.9996272
,cfoo,3,11790,0,157638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38710,400.2030726,4604.093944,15.42804573,35.664833,72331.86011,31837.2,0,8402.712878,1.012989665,33560.60779,141.642189,50.12433576,138.1706951,2759.89265,85.98951378,202.683673,175.4608031,601.1097088,481.708904,8.040210927,80.26962963,130.6526641,350.5378355,39316.06985,7679.716284,34.09562495,86.79353602,152.8490605,3.235116477,0.2886377327,23.81601213,0.4739441106,0.6753698974,0.4438795561,1.230866051,0.4474670403,3.444697725,3.20696115,0.05622434770000001,175065,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45286,2206.99,,,cfoo,3,11790,0,157638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38710,400.2030726,4604.093944,15.42804573,35.664833,72331.86011,31837.2,0,8402.712878,1.012989665,33560.60779,141.642189,50.12433576,138.1706951,2759.89265,85.98951378,202.683673,175.4608031,601.1097088,481.708904,8.040210927,80.26962963,130.6526641,350.5378355,39316.06985,7679.716284,34.09562495,86.79353602,152.8490605,3.235116477,0.2886377327,23.81601213,0.4739441106,0.6753698974,0.4438795561,1.230866051,0.4474670403,3.444697725,3.20696115,0.05622434770000001,175065,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45286,2206.99
,cveh,4,0,0,0,125598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81999,215.0334062,2473.82909,8.289654557,19.16309755,38864.68475,14572.58,0,227.5588827,9.702794527,249.3332743,36899.30899,49.12899866,15.6533423,64.74097024,9.506301034,106.5627083,899.4609742,523.4255663,174.2151895,54.67316128,545.8307557000001,194.4883947,227.3842736,7825.718905,3908.463165,6.01620687,43.91028876,4.098763819,0.5704475097,0.2410715312,19.89124035,0.3961112121,0.569789446,0.445378033,1.029020446,0.3740883136,2.879798925,3.024135054,0.0470112958,62148,133,141.2502725,5.948620734,152.9162779,22649.54404,30.29877338,9.566259021,39.79606901,5.851718092,66.04545726000001,556.7825093,321.4325983,106.9380764,34.22175202,341.6536438,123.5656107,139.3249497,4821.376246,2420.567383,3.680650298,27.20780802,2.517760178,0.348822304,0.1491586581,12.30734588,0.2452836754,0.3564383848,0.3238262918,0.6372844938,0.2316772538,1.783486549,2.101067357,0.0291333392,111217,6164.93,,,cveh,4,0,0,0,125598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81999,215.0334062,2473.82909,8.289654557,19.16309755,38864.68475,14572.58,0,227.5588827,9.702794527,249.3332743,36899.30899,49.12899866,15.6533423,64.74097024,9.506301034,106.5627083,899.4609742,523.4255663,174.2151895,54.67316128,545.8307557000001,194.4883947,227.3842736,7825.718905,3908.463165,6.01620687,43.91028876,4.098763819,0.5704475097,0.2410715312,19.89124035,0.3961112121,0.569789446,0.445378033,1.029020446,0.3740883136,2.879798925,3.024135054,0.0470112958,62148,133,141.2502725,5.948620734,152.9162779,22649.54404,30.29877338,9.566259021,39.79606901,5.851718092,66.04545726000001,556.7825093,321.4325983,106.9380764,34.22175202,341.6536438,123.5656107,139.3249497,4821.376246,2420.567383,3.680650298,27.20780802,2.517760178,0.348822304,0.1491586581,12.30734588,0.2452836754,0.3564383848,0.3238262918,0.6372844938,0.2316772538,1.783486549,2.101067357,0.0291333392,111217,6164.93
,cgla,5,0,0,0,0,22100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6979,54.29488785,624.6297977,2.093097405,4.838588807,9813.143628,794.5,0,403.9263919,6.073853678,824.4852474,889.927827,3568.150677,63.66889088,657.6494095,142.1736479,633.1629314,809.7865083,703.6668095,17673.25202,12.10309082,120.8314839,12.56761668,3.460766957,3133.850716,1328.427674,272.4901456,34.93019363,30.62699407,25.85694138,1.649449229,136.0989864,2.708195502,3.855131002,2.479958011,7.03315195,2.556820688,19.68296705,18.06423939,0.3212598575,3482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5214,130.98,,,cgla,5,0,0,0,0,22100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6979,54.29488785,624.6297977,2.093097405,4.838588807,9813.143628,794.5,0,403.9263919,6.073853678,824.4852474,889.927827,3568.150677,63.66889088,657.6494095,142.1736479,633.1629314,809.7865083,703.6668095,17673.25202,12.10309082,120.8314839,12.56761668,3.460766957,3133.850716,1328.427674,272.4901456,34.93019363,30.62699407,25.85694138,1.649449229,136.0989864,2.708195502,3.855131002,2.479958011,7.03315195,2.556820688,19.68296705,18.06423939,0.3212598575,3482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5214,130.98
,cpap,6,0,0,0,0,0,16305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9144,21.14599451,243.2718585,0.8151895694,1.884464199,3821.882493,1232.43,0,186.823396,2.016342183,1699.411484,140.9263411,193.8953769,3192.743109,1051.055244,271.4270307,88.4097623,315.9479407,1964.500055,418.4584584,2.8388601,28.34182472,38.95826088,2.233639403,7759.107602,1285.195096,20.83270075,32.87631017000001,40.01305396,1.976093384,0.1459357878,12.04142113,0.2397586296,0.3442448201,0.2606767457,0.6228116984,0.2264159004,1.742991826,1.789307937,0.0284526168,5288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6410,317,,,cpap,6,0,0,0,0,0,16305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9144,21.14599451,243.2718585,0.8151895694,1.884464199,3821.882493,1232.43,0,186.823396,2.016342183,1699.411484,140.9263411,193.8953769,3192.743109,1051.055244,271.4270307,88.4097623,315.9479407,1964.500055,418.4584584,2.8388601,28.34182472,38.95826088,2.233639403,7759.107602,1285.195096,20.83270075,32.87631017000001,40.01305396,1.976093384,0.1459357878,12.04142113,0.2397586296,0.3442448201,0.2606767457,0.6228116984,0.2264159004,1.742991826,1.789307937,0.0284526168,5288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6410,317
,cche,7,0,0,0,0,0,0,86971.39526999999,0,0,0,0,0,0,0,0,0,0,97.99999737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69375.84533,320.1330311,3682.936615,12.34130216,28.52924395,57860.16951,6070.219666,0,9170.304656,31.83687443,1689.556442,1705.85205,418.8098731,948.1057628,21677.81707,8518.397993,1965.696612,1518.708827,3309.786077,3417.314835,0.1283688281,1.281573131,88.69962169,94.69986561,11262.47285,7928.307382,134.385179,2.99808767,21.77308868,0,0.00953085496,0.7864077761,0.0156682294,0.0226918826,0.0197629601,0.0407114544,0.0148001687,0.1139339626,0.1295382798,0.00186012404,36043.27908,26003.30435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85163.34299999999,3301.555533,,,cche,7,0,0,0,0,0,0,86971.39526999999,0,0,0,0,0,0,0,0,0,0,97.99999737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69375.84533,320.1330311,3682.936615,12.34130216,28.52924395,57860.16951,6070.219666,0,9170.304656,31.83687443,1689.556442,1705.85205,418.8098731,948.1057628,21677.81707,8518.397993,1965.696612,1518.708827,3309.786077,3417.314835,0.1283688281,1.281573131,88.69962169,94.69986561,11262.47285,7928.307382,134.385179,2.99808767,21.77308868,0,0.00953085496,0.7864077761,0.0156682294,0.0226918826,0.0197629601,0.0407114544,0.0148001687,0.1139339626,0.1295382798,0.00186012404,36043.27908,26003.30435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85163.34299999999,3301.555533
,cpla,8,0,0,0,0,0,0,0,29076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17297,50.1318833,576.736952,1.93261132,4.467594998,9060.730958,1490.01,0,452.7329991,9.041386319000002,2872.605666,4435.951296,219.4909519,337.7303792,1792.044806,2387.572093,1025.472257,3335.696878,2886.86823,5600.290062,39.79516032,397.295893,108.2945363,107.2400505,7729.062921,561.6662524,49.80292338,926.9095297,95.54698814,4.724049636,1.930016198,159.2490655,3.169915581,4.533312021000001,3.194684674,8.233378918,2.993148852,23.0418639,22.49319573,0.376111179,7709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13677,565.96,,,cpla,8,0,0,0,0,0,0,0,29076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17297,50.1318833,576.736952,1.93261132,4.467594998,9060.730958,1490.01,0,452.7329991,9.041386319000002,2872.605666,4435.951296,219.4909519,337.7303792,1792.044806,2387.572093,1025.472257,3335.696878,2886.86823,5600.290062,39.79516032,397.295893,108.2945363,107.2400505,7729.062921,561.6662524,49.80292338,926.9095297,95.54698814,4.724049636,1.930016198,159.2490655,3.169915581,4.533312021000001,3.194684674,8.233378918,2.993148852,23.0418639,22.49319573,0.376111179,7709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13677,565.96
,cmet,9,0,0,0,0,0,0,0,0,80223.69442,0,0,0,0,0,0,0,13.19857486,7.107003591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36505,76.97679832,885.5714391,2.967497369,6.859928982,13912.62434,1281.45,0,596.1232643,39.27477015,1578.588644,9489.975097,904.0331155,425.070606,1689.817853,542.1740636,25267.64576,11506.97198,7965.822494,19519.42915,18.75339929,187.2249906,34.14315682,52.45797312,5727.090392,3187.412949,133.8608219,797.9229012,89.87670833,12.70038024,2.959258221,244.1736534,4.859566681000001,6.9338284,4.676198243,12.62112507,4.588263087,35.32141548,33.45969387,0.5765281851,4929,0,26.34074844,2.034679274,117.1215376,626.602878,45.31620301,27.1286116,97.94217846,30.2742207,1357.719603,693.968751,480.3146953,1273.668948,1.259269832,12.57194916,2.110032776,3.203213696,329.5619184,177.0255149,8.748895739,50.13049404,5.385891239,0.829149667,0.1949450352,16.0852612,0.3205769973,0.4658522299,0.4232293899,0.832908057,0.3027938906,2.330953179,2.746019945,0.0380762331,30769,1707.91,,,cmet,9,0,0,0,0,0,0,0,0,80223.69442,0,0,0,0,0,0,0,13.19857486,7.107003591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36505,76.97679832,885.5714391,2.967497369,6.859928982,13912.62434,1281.45,0,596.1232643,39.27477015,1578.588644,9489.975097,904.0331155,425.070606,1689.817853,542.1740636,25267.64576,11506.97198,7965.822494,19519.42915,18.75339929,187.2249906,34.14315682,52.45797312,5727.090392,3187.412949,133.8608219,797.9229012,89.87670833,12.70038024,2.959258221,244.1736534,4.859566681000001,6.9338284,4.676198243,12.62112507,4.588263087,35.32141548,33.45969387,0.5765281851,4929,0,26.34074844,2.034679274,117.1215376,626.602878,45.31620301,27.1286116,97.94217846,30.2742207,1357.719603,693.968751,480.3146953,1273.668948,1.259269832,12.57194916,2.110032776,3.203213696,329.5619184,177.0255149,8.748895739,50.13049404,5.385891239,0.829149667,0.1949450352,16.0852612,0.3205769973,0.4658522299,0.4232293899,0.832908057,0.3027938906,2.330953179,2.746019945,0.0380762331,30769,1707.91
