SCENARIO 0,,,PRODUCTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMPORTS,MARGINS PAID,,,,,TAXES LESS SUBSIDIES,MARGINS SUPPLIED,INTERMEDIARY CONSUMPTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FINAL CONSUMPTION,,INVESTMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXPORTS,STOCKS,,SCENARIO 2,,,PRODUCTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMPORTS,MARGINS PAID,,,,,TAXES LESS SUBSIDIES,MARGINS SUPPLIED,INTERMEDIARY CONSUMPTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FINAL CONSUMPTION,,INVESTMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXPORTS,STOCKS
VOLUME 2015,,,sagr,sfor,sfoo,sveh,sgla,spap,sche,spla,smet,sigo,scgo,scon,srai,sroa,swat,sair,spri,spub,smin,soil,sbfu,sgas,sbga,senu,seoi,sega,seco,sewi,seso,sehy,sech,seot,,crai,croa,cwat,cair,cpri,,,sagr,sfor,sfoo,sveh,sgla,spap,sche,spla,smet,sigo,scgo,scon,srai,sroa,swat,sair,spri,spub,smin,soil,sbfu,sgas,sbga,senu,seoi,sega,seco,sewi,seso,sehy,sech,seot,HOUSEHOLDS,GOVERNMENT,sagr,sfor,sfoo,sveh,sgla,spap,sche,spla,smet,sigo,scgo,scon,srai,sroa,swat,sair,spri,spub,smin,soil,sbfu,sgas,sbga,senu,seoi,sega,seco,sewi,seso,sehy,sech,seot,,,,VOLUME 2015,,,sagr,sfor,sfoo,sveh,sgla,spap,sche,spla,smet,sigo,scgo,scon,srai,sroa,swat,sair,spri,spub,smin,soil,sbfu,sgas,sbga,senu,seoi,sega,seco,sewi,seso,sehy,sech,seot,,crai,croa,cwat,cair,cpri,,,sagr,sfor,sfoo,sveh,sgla,spap,sche,spla,smet,sigo,scgo,scon,srai,sroa,swat,sair,spri,spub,smin,soil,sbfu,sgas,sbga,senu,seoi,sega,seco,sewi,seso,sehy,sech,seot,HOUSEHOLDS,GOVERNMENT,sagr,sfor,sfoo,sveh,sgla,spap,sche,spla,smet,sigo,scgo,scon,srai,sroa,swat,sair,spri,spub,smin,soil,sbfu,sgas,sbga,senu,seoi,sega,seco,sewi,seso,sehy,sech,seot,,
,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108
TOTAL,cagr,1,69947.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.99987354,7.000119237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12973,113.6303319,1307.248142,4.380510989,10.12637605,20543.61464,750.5,0,14897.56526,171.2830045,37977.83721,0,0,0,57.23303813,218.956391,0,15.23726331,222.3339592,130.919749,0,0,0,0,1675.098477,21.01336279,0,0,3.691902082,0,0.1156832979,10.64464727,0.2093372774,0.301381323,0.221926891,0.5438258027,0.1977015071,1.521943616,1.549090953,0.0248443859,31638,0,357.8959846,4.127592827,930.893117,0,0,0,1.475861021,5.241066544,0,0.4089699331,5.401360572,4.944701243,0,0,0,0,53.42277641,0.5026638812000001,0,0,0.0950918132,0,0.00436907457,0.4020222328,0.00791471392,0.0115014089,0.0104490951,0.020563637,0.00747566744,0.057548819,0.068029471,0.000940062746,15809,1507,,TOTAL,cagr,1,69947.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.99987354,7.000119237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12973,113.6303319,1307.248142,4.380510989,10.12637605,20543.61464,750.5,0,14897.56526,171.2830045,37977.83721,0,0,0,57.23303813,218.956391,0,15.23726331,222.3339592,130.919749,0,0,0,0,1675.098477,21.01336279,0,0,3.691902082,0,0.1156832979,10.64464727,0.2093372774,0.301381323,0.221926891,0.5438258027,0.1977015071,1.521943616,1.549090953,0.0248443859,31638,0,357.8959846,4.127592827,930.893117,0,0,0,1.475861021,5.241066544,0,0.4089699331,5.401360572,4.944701243,0,0,0,0,53.42277641,0.5026638812000001,0,0,0.0950918132,0,0.00436907457,0.4020222328,0.00791471392,0.0115014089,0.0104490951,0.020563637,0.00747566744,0.057548819,0.068029471,0.000940062746,15809,1507
COMMODITIES,cfor,2,0,690.2689505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.99980514,22.00002534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.7766463,1.030533056,11.8556586,0.0397276088,0.0918378489,186.3135803,-2.57568284,0,0,399.4887107,0,0,0,0,0,0,0,0.067037317,289.389098,35.58153794,0,0,0,0,2.184732055,19.30596213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.78437654,250.9996272,,COMMODITIES,cfor,2,0,690.2689505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.99980514,22.00002534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.7766463,1.030533056,11.8556586,0.0397276088,0.0918378489,186.3135803,-2.57568284,0,0,399.4887107,0,0,0,0,0,0,0,0.067037317,289.389098,35.58153794,0,0,0,0,2.184732055,19.30596213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.78437654,250.9996272
,cfoo,3,11790,0,157638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38710,400.0882162,4602.77259,15.42361796,35.65459735,72333.31098,31837.2,0,8402.750319999999,1.013001796,33560.72253,141.6369995,50.12888724,138.167099,2759.92297,85.98934949,202.693847,331.9397653,601.130394,481.6994601,8.040160309999999,80.26912428999999,130.642873,350.5315106,39311.79898,7523.47679,34.05253939,86.79206257,152.8502868,3.277723806,0.2886332706,26.5587117,0.5220873048,0.7489288116,0.4973538931,1.356150182,0.493012604,3.795313991,3.611183786,0.061950098,175065,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45286,2206.99,,,cfoo,3,11790,0,157638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38710,400.0882162,4602.77259,15.42361796,35.65459735,72333.31098,31837.2,0,8402.750319999999,1.013001796,33560.72253,141.6369995,50.12888724,138.167099,2759.92297,85.98934949,202.693847,331.9397653,601.130394,481.6994601,8.040160309999999,80.26912428999999,130.642873,350.5315106,39311.79898,7523.47679,34.05253939,86.79206257,152.8502868,3.277723806,0.2886332706,26.5587117,0.5220873048,0.7489288116,0.4973538931,1.356150182,0.493012604,3.795313991,3.611183786,0.061950098,175065,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45286,2206.99
,cveh,4,0,0,0,125598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81999,214.9716926,2473.119113,8.287275465,19.15759783,38865.46432,14572.58,0,227.5623847,9.702949296,249.3361529,36899.16273,49.13152401,15.65334364,64.74204588000001,9.506397455,106.5667664,1250.684867,523.4393035000001,174.2154201,54.67379812,545.8371136,194.4813666,227.385027,7822.527717,3557.320175,6.008703071,43.91063779,4.098818672,0.5779775853,0.2410724399,22.18238188,0.4363590273,0.6297491473,0.4941413141,1.133678374,0.4121354654,3.17269138,3.370781335,0.0517942246,62148,133,141.2502725,5.948620734,152.9162779,22649.54404,30.29877338,9.566259021,39.79606901,5.851718091,66.04545726000001,772.1556244,321.4325983,106.9380764,34.22175202,341.6536438,123.5656107,139.3249497,4819.370761,2205.194268,3.676044133,27.20780802,2.517760178,0.3534284686,0.1491586581,13.72489661,0.2702055295,0.3926540255,0.3567284065,0.7020352816,0.2552166382,1.964696292,2.322502042,0.0320934091,111217,6164.93,,,cveh,4,0,0,0,125598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81999,214.9716926,2473.119113,8.287275465,19.15759783,38865.46432,14572.58,0,227.5623847,9.702949296,249.3361529,36899.16273,49.13152401,15.65334364,64.74204588000001,9.506397455,106.5667664,1250.684867,523.4393035000001,174.2154201,54.67379812,545.8371136,194.4813666,227.385027,7822.527717,3557.320175,6.008703071,43.91063779,4.098818672,0.5779775853,0.2410724399,22.18238188,0.4363590273,0.6297491473,0.4941413141,1.133678374,0.4121354654,3.17269138,3.370781335,0.0517942246,62148,133,141.2502725,5.948620734,152.9162779,22649.54404,30.29877338,9.566259021,39.79606901,5.851718091,66.04545726000001,772.1556244,321.4325983,106.9380764,34.22175202,341.6536438,123.5656107,139.3249497,4819.370761,2205.194268,3.676044133,27.20780802,2.517760178,0.3534284686,0.1491586581,13.72489661,0.2702055295,0.3926540255,0.3567284065,0.7020352816,0.2552166382,1.964696292,2.322502042,0.0320934091,111217,6164.93
,cgla,5,0,0,0,0,22100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6979,54.27930546000001,624.4505318,2.092496696,4.837200154,9813.340466,794.5,0,403.9305088,6.073975581,824.492865,889.9097666,3568.507307,63.66797007,657.6605197,142.1745051,633.196656,1181.266192,703.691225,17673.04344,12.10313148,120.8318898,12.5670059,3.460747319,3111.670672,956.9284045,272.1480532,34.92991328,30.62742474,26.19765953,1.649437557,151.7736901,2.983316829,4.276656251000001,2.782457346,7.749166893,2.81711945,21.68678413,20.36755514,0.3539833773,3482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5214,130.98,,,cgla,5,0,0,0,0,22100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6979,54.27930546000001,624.4505318,2.092496696,4.837200154,9813.340466,794.5,0,403.9305088,6.073975581,824.492865,889.9097666,3568.507307,63.66797007,657.6605197,142.1745051,633.196656,1181.266192,703.691225,17673.04344,12.10313148,120.8318898,12.5670059,3.460747319,3111.670672,956.9284045,272.1480532,34.92991328,30.62742474,26.19765953,1.649437557,151.7736901,2.983316829,4.276656251000001,2.782457346,7.749166893,2.81711945,21.68678413,20.36755514,0.3539833773,3482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5214,130.98
,cpap,6,0,0,0,0,0,16305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9144,21.13992571,243.2020406,0.8149556137,1.883923367,3821.959155,1232.43,0,186.8246829,2.016368489,1699.420754,140.9231843,193.9079895,3192.702792,1051.066363,271.4273693,88.4130878,573.5372775,1964.54983,418.4530057,2.83885638,28.34178758,38.95680346000001,2.233609347,7757.108405,1027.61575,20.80648963,32.87609833,40.01335698,2.002141536,0.1459346495,13.42823811,0.2641165204,0.3807161409,0.2897033615,0.6861600121,0.2494454306,1.920276462,1.998059215,0.0313476913,5288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6410,317,,,cpap,6,0,0,0,0,0,16305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9144,21.13992571,243.2020406,0.8149556137,1.883923367,3821.959155,1232.43,0,186.8246829,2.016368489,1699.420754,140.9231843,193.9079895,3192.702792,1051.066363,271.4273693,88.4130878,573.5372775,1964.54983,418.4530057,2.83885638,28.34178758,38.95680346000001,2.233609347,7757.108405,1027.61575,20.80648963,32.87609833,40.01335698,2.002141536,0.1459346495,13.42823811,0.2641165204,0.3807161409,0.2897033615,0.6861600121,0.2494454306,1.920276462,1.998059215,0.0313476913,5288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6410,317
,cche,7,0,0,0,0,0,0,86971.39526999999,0,0,0,0,0,0,0,0,0,0,97.99999751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69375.84533,320.0411544,3681.879629,12.33776026,28.52105619,57861.3301,6070.219666,0,9170.311769,31.83705848,1689.556926,1705.802723,418.8390891,948.0845059,21677.94856,8518.365277999999,1965.769374,1760.940331,3309.86426,3417.251415,0.1283685618,1.281570472,88.69542528,94.69936923,11262.23792,7686.036575,134.3834894,2.998096916,21.77308305,0,0.00953081215,0.8769816856,0.0172601663,0.0250192265,0.0218088829,0.0448487262,0.016304225,0.1255124052,0.1435014185,0.0020491952,36043.27908,26003.30435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85163.34299999999,3301.555533,,,cche,7,0,0,0,0,0,0,86971.39526999999,0,0,0,0,0,0,0,0,0,0,97.99999751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69375.84533,320.0411544,3681.879629,12.33776026,28.52105619,57861.3301,6070.219666,0,9170.311769,31.83705848,1689.556926,1705.802723,418.8390891,948.0845059,21677.94856,8518.365277999999,1965.769374,1760.940331,3309.86426,3417.251415,0.1283685618,1.281570472,88.69542528,94.69936923,11262.23792,7686.036575,134.3834894,2.998096916,21.77308305,0,0.00953081215,0.8769816856,0.0172601663,0.0250192265,0.0218088829,0.0448487262,0.016304225,0.1255124052,0.1435014185,0.0020491952,36043.27908,26003.30435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85163.34299999999,3301.555533
,cpla,8,0,0,0,0,0,0,0,29076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17297,50.11749568,576.5714311,1.932056669,4.466312819,9060.912704,1490.01,0,452.7399269,9.041482605,2872.654578,4435.903671,219.5082349,337.7285182,1792.085113,2387.598238,1025.524513,3512.892367,2886.971412,5600.277279,39.79535527,397.2978392,108.2917796,107.2401148,7703.158433,384.3600135,49.74076621,926.9123176,95.54885365,4.786369319,1.93001882,177.5914928,3.49198155,5.020737281,3.564727096,9.071255851,3.2977491,25.3867203,25.22373666,0.4144034419,7709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13677,565.96,,,cpla,8,0,0,0,0,0,0,0,29076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17297,50.11749568,576.5714311,1.932056669,4.466312819,9060.912704,1490.01,0,452.7399269,9.041482605,2872.654578,4435.903671,219.5082349,337.7285182,1792.085113,2387.598238,1025.524513,3512.892367,2886.971412,5600.277279,39.79535527,397.2978392,108.2917796,107.2401148,7703.158433,384.3600135,49.74076621,926.9123176,95.54885365,4.786369319,1.93001882,177.5914928,3.49198155,5.020737281,3.564727096,9.071255851,3.2977491,25.3867203,25.22373666,0.4144034419,7709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13677,565.96
,cmet,9,0,0,0,0,0,0,0,0,80223.47478999999,0,0,0,0,0,0,0,13.34129664,7.183910648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36505,76.95470632999999,885.3172841,2.966645711,6.857960214,13912.9034,1281.45,0,596.1268423,39.27522229,1578.608104,9489.752989,904.085193,425.0640502,1689.843139,542.1764819,25268.607,13480.16577,7966.089054,19519.20926,18.75344289,187.2254259,34.14142354,52.45758093,5687.294057,1213.651546,133.6927293,797.9182577,89.87783772,12.86776588,2.959237118,272.2954471,5.353249718,7.685554963,5.231354858000001,13.90571343,5.055259987000001,38.9164245,37.61935442,0.635236324,4929,0,26.34074844,2.034679274,117.1215376,626.602878,45.31620301,27.1286116,97.94217846,30.2742207,1357.719603,793.1485662,480.3146953,1273.668948,1.259269832,12.57194916,2.110032776,3.203213696,326.9408212,77.84569969,8.737946899000001,50.13049404,5.38589124,0.8400985079,0.1949450353,17.93794935,0.3531489701,0.513184778,0.466231278,0.9175350226,0.3335590248,2.567787836,3.035427163,0.04194493870000001,30769,1707.91,,,cmet,9,0,0,0,0,0,0,0,0,80223.47478999999,0,0,0,0,0,0,0,13.34129664,7.183910648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36505,76.95470632999999,885.3172841,2.966645711,6.857960214,13912.9034,1281.45,0,596.1268423,39.27522229,1578.608104,9489.752989,904.085193,425.0640502,1689.843139,542.1764819,25268.607,13480.16577,7966.089054,19519.20926,18.75344289,187.2254259,34.14142354,52.45758093,5687.294057,1213.651546,133.6927293,797.9182577,89.87783772,12.86776588,2.959237118,272.2954471,5.353249718,7.685554963,5.231354858000001,13.90571343,5.055259987000001,38.9164245,37.61935442,0.635236324,4929,0,26.34074844,2.034679274,117.1215376,626.602878,45.31620301,27.1286116,97.94217846,30.2742207,1357.719603,793.1485662,480.3146953,1273.668948,1.259269832,12.57194916,2.110032776,3.203213696,326.9408212,77.84569969,8.737946899000001,50.13049404,5.38589124,0.8400985079,0.1949450353,17.93794935,0.3531489701,0.513184778,0.466231278,0.9175350226,0.3335590248,2.567787836,3.035427163,0.04194493870000001,30769,1707.91
