SCENARIO 0,,,PRODUCTION,,,,,,,,,,,,,,,,,IMPORTS,MARGINS PAID,,,TAXES LESS SUBSIDIES,MARGINS SUPPLIED,INTERMEDIARY CONSUMPTION,,,,,,,,,,,,,,,,,FINAL CONSUMPTION,,INVESTMENT,,,,,,,,,,,,,,,,,EXPORTS,STOCKS,,SCENARIO 2,,,PRODUCTION,,,,,,,,,,,,,,,,,IMPORTS,MARGINS PAID,,,TAXES LESS SUBSIDIES,MARGINS SUPPLIED,INTERMEDIARY CONSUMPTION,,,,,,,,,,,,,,,,,FINAL CONSUMPTION,,INVESTMENT,,,,,,,,,,,,,,,,,EXPORTS,STOCKS
VOLUME 2010,,,sAZ,sDE,sC1,sC2,sC3,sC4,sC5,sFZ,sGZ,sHZ,sIZ,sJZ,sKZ,sLZ,sMN,sOQ,sRU,,cGZ,cHZ,cRU,,,sAZ,sDE,sC1,sC2,sC3,sC4,sC5,sFZ,sGZ,sHZ,sIZ,sJZ,sKZ,sLZ,sMN,sOQ,sRU,HOUSEHOLDS,GOVERNMENT,sAZ,sDE,sC1,sC2,sC3,sC4,sC5,sFZ,sGZ,sHZ,sIZ,sJZ,sKZ,sLZ,sMN,sOQ,sRU,,,,VOLUME 2010,,,sAZ,sDE,sC1,sC2,sC3,sC4,sC5,sFZ,sGZ,sHZ,sIZ,sJZ,sKZ,sLZ,sMN,sOQ,sRU,,cGZ,cHZ,cRU,,,sAZ,sDE,sC1,sC2,sC3,sC4,sC5,sFZ,sGZ,sHZ,sIZ,sJZ,sKZ,sLZ,sMN,sOQ,sRU,HOUSEHOLDS,GOVERNMENT,sAZ,sDE,sC1,sC2,sC3,sC4,sC5,sFZ,sGZ,sHZ,sIZ,sJZ,sKZ,sLZ,sMN,sOQ,sRU,,
,cHZ,10,0,0,0,0,0,0,0,0,0,151685.7005,0,0,0,0,0,335.8494001,42.88871106,17010.65489,0,0,0,-2585.693368,38293.86234,51.92751768,1145.069363,1519.814579,1124.488248,1328.917187,859.3824652,6498.126419,1336.75716,16418.00307,29785.17271,1039.318804,317.3459945,687.3453387,855.8178522,5191.835549000001,2819.718994,1977.388745,29409.16619,2558.007194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23322.19232,-50.25789207,,,cHZ,10,0,0,0,0,0,0,0,0,0,151685.7005,0,0,0,0,0,335.8494001,42.88871106,17010.65489,0,0,0,-2585.693368,38293.86234,51.92751768,1145.069363,1519.814579,1124.488248,1328.917187,859.3824652,6498.126419,1336.75716,16418.00307,29785.17271,1039.318804,317.3459945,687.3453387,855.8178522,5191.835549000001,2819.718994,1977.388745,29409.16619,2558.007194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23322.19232,-50.25789207
,cIZ,11,0,0,0,0,0,0,0,0,0,0,75762.93653000001,0,0,0,2.027358506,914.5662886,4.29824405,0,0,0,0,5930.453957,0,30.78195802,174.4395294,379.7683496,89.37048202,502.0825083,409.8239479,1557.137577,208.6353583,4841.16008,1025.892274,1916.491456,262.2919869,485.3293317,704.8632274,4310.951709,2046.294394,1067.524305,62028.8839,572.8966339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3366242606,,,cIZ,11,0,0,0,0,0,0,0,0,0,0,75762.93653000001,0,0,0,2.027358506,914.5662886,4.29824405,0,0,0,0,5930.453957,0,30.78195802,174.4395294,379.7683496,89.37048202,502.0825083,409.8239479,1557.137577,208.6353583,4841.16008,1025.892274,1916.491456,262.2919869,485.3293317,704.8632274,4310.951709,2046.294394,1067.524305,62028.8839,572.8966339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3366242606
,cJZ,12,0,0,0,0,0,0,0,0,0,0,0,61633.35858,0,0,0,1.329329002,0,1818.269407,0,0,0,4639.488037,0,37.39412574,343.4825743,290.2948767,50.01874178,526.5675941,334.1913633,1575.618142,557.5041271,5608.59691,354.6378004,560.1363809,9596.753529,4658.074867,688.3903196,9045.178198,3146.307559,1573.763873,26174.65623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2970.962288,-0.0841560652,,,cJZ,12,0,0,0,0,0,0,0,0,0,0,0,61633.35858,0,0,0,1.329329002,0,1818.269407,0,0,0,4639.488037,0,37.39412574,343.4825743,290.2948767,50.01874178,526.5675941,334.1913633,1575.618142,557.5041271,5608.59691,354.6378004,560.1363809,9596.753529,4658.074867,688.3903196,9045.178198,3146.307559,1573.763873,26174.65623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2970.962288,-0.0841560652
,cKZ,13,0,0,0.8590636356,0,0,0,0,0,0,0,0,0,164626.3326,0,0,89.50019189,0,3110.729865,0,0,0,9071.862452,0,2328.910584,1680.24211,3076.325393,1155.423728,2906.654787,1421.84461,6664.52564,6244.673806,16060.55415,4901.993534,1628.510101,3456.997764,38073.34605,4221.170766,13491.25881,3155.276653,2761.588365,58506.54524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5163.442064,0,,,cKZ,13,0,0,0.8590636356,0,0,0,0,0,0,0,0,0,164626.3326,0,0,89.50019189,0,3110.729865,0,0,0,9071.862452,0,2328.910584,1680.24211,3076.325393,1155.423728,2906.654787,1421.84461,6664.52564,6244.673806,16060.55415,4901.993534,1628.510101,3456.997764,38073.34605,4221.170766,13491.25881,3155.276653,2761.588365,58506.54524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5163.442064,0
,cLZ,14,1.006033937,2.097034565,0,0,0,0,0,0,0,0,0,0,0,270314.9564,38.22400722,2446.167011,207.2905004,0,0,0,0,4325.40045,0,18.41822628,241.2318699,591.1970445,119.1804,851.6047035,584.0155998,2963.785819,217.4999236,14196.09254,1374.804241,2056.115775,911.8673969,3429.350015,13169.82109,10257.33046,3743.37864,2188.156545,183118.578,16537.96644,6.719883655,88.01336652,215.6980426,43.48292881,310.7076893,213.0778949,1081.336258,79.35477389,5179.439583,501.5968643,750.1731483,332.6945127,1251.197198,4805.00479,3742.383564,1365.770436,798.3481786,0,-0.2524681955,,,cLZ,14,1.006033937,2.097034565,0,0,0,0,0,0,0,0,0,0,0,270314.9564,38.22400722,2446.167011,207.2905004,0,0,0,0,4325.40045,0,18.41822628,241.2318699,591.1970445,119.1804,851.6047035,584.0155998,2963.785819,217.4999236,14196.09254,1374.804241,2056.115775,911.8673969,3429.350015,13169.82109,10257.33046,3743.37864,2188.156545,183118.578,16537.96644,6.719883655,88.01336652,215.6980426,43.48292881,310.7076893,213.0778949,1081.336258,79.35477389,5179.439583,501.5968643,750.1731483,332.6945127,1251.197198,4805.00479,3742.383564,1365.770436,798.3481786,0,-0.2524681955
,cMN,15,0.9526521602,64.53728265,0,0,0,0,92.92608161,0,0,0,0,0,0,0,125739.8557,707.3279379,126.4445693,3780.860501,0,0,0,3392.11532,0,1201.547044,2786.68138,2778.6187,855.1039746,7228.936762,6715.037085,12409.40039,3664.8696,6135.208195,2632.9645,438.2728022,2716.402055,6511.31738,1625.555206,23823.35454,3128.763305,1154.397773,5019.091483,11506.10499,375.7104471,881.8678992,866.8233919,262.8319624,2170.739933,2011.534549,3778.290143,1161.185688,1930.419164,835.940627,137.6549075,838.9496043,2029.622861,508.3257531,7425.853277,967.0699765,364.3317009,5031.542776,-5.301832103,,,cMN,15,0.9526521602,64.53728265,0,0,0,0,92.92608161,0,0,0,0,0,0,0,125739.8557,707.3279379,126.4445693,3780.860501,0,0,0,3392.11532,0,1201.547044,2786.68138,2778.6187,855.1039746,7228.936762,6715.037085,12409.40039,3664.8696,6135.208195,2632.9645,438.2728022,2716.402055,6511.31738,1625.555206,23823.35454,3128.763305,1154.397773,5019.091483,11506.10499,375.7104471,881.8678992,866.8233919,262.8319624,2170.739933,2011.534549,3778.290143,1161.185688,1930.419164,835.940627,137.6549075,838.9496043,2029.622861,508.3257531,7425.853277,967.0699765,364.3317009,5031.542776,-5.301832103
,cOQ,16,1.325452637,0,0,0,0,0,0,0,0,0,0,0,0,0,18.55377288,426213.6824,599.0316099,179.2530507,0,0,0,852.3453637,0,303.4699227,287.1333451,323.0616766,103.3706491,522.9489728,566.8918744,1071.568471,332.0545703,933.7752291,777.2449267,199.8070905,311.0142119,586.3682359,117.5425889,1366.381685,3422.814655,550.2860247,60306.44951,355252.5661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529.4418980000001,0,,,cOQ,16,1.325452637,0,0,0,0,0,0,0,0,0,0,0,0,0,18.55377288,426213.6824,599.0316099,179.2530507,0,0,0,852.3453637,0,303.4699227,287.1333451,323.0616766,103.3706491,522.9489728,566.8918744,1071.568471,332.0545703,933.7752291,777.2449267,199.8070905,311.0142119,586.3682359,117.5425889,1366.381685,3422.814655,550.2860247,60306.44951,355252.5661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529.4418980000001,0
,cRU,17,0.9338164053,100.5603236,0,0,0,0,3331.569907,367.6672743,268710.2944,19.85354476,6.711561553,233.5696016,0,0,294903.7687,4173.6843,98484.55853,29432.43168,0,0,0,28065.25804,238663.6975,1847.065562,4893.515242000001,12176.22401,4061.015793,12772.15932,10075.03214,38066.18597,19822.50564,49206.22029,12094.25398,5446.607544000001,5094.022845000001,17496.7413,12442.75494,91901.88382,19989.31196,17018.55398,76881.43564,21301.72716,179.2491152,477.0210816,1186.382521,395.2195436,1245.155687,983.8540436,3710.863939,1931.217849,4819.039191,1182.531677,529.6418243000001,495.5733468,1698.795131,1217.110477,8929.048217,1942.315338,1635.744465,24067.46941,-46.28583582,,,cRU,17,0.9338164053,100.5603236,0,0,0,0,3331.569907,367.6672743,268710.2944,19.85354476,6.711561553,233.5696016,0,0,294903.7687,4173.6843,98484.55853,29432.43168,0,0,0,28065.25804,238663.6975,1847.065562,4893.515242000001,12176.22401,4061.015793,12772.15932,10075.03214,38066.18597,19822.50564,49206.22029,12094.25398,5446.607544000001,5094.022845000001,17496.7413,12442.75494,91901.88382,19989.31196,17018.55398,76881.43564,21301.72716,179.2491152,477.0210816,1186.382521,395.2195436,1245.155687,983.8540436,3710.863939,1931.217849,4819.039191,1182.531677,529.6418243000001,495.5733468,1698.795131,1217.110477,8929.048217,1942.315338,1635.744465,24067.46941,-46.28583582
,Total,18,80653.96816,83128.01609,117580.4246,67135.41493,128603.3916,149401.7324,359989.8064,220498.3892,310914.1448,151705.5541,75769.64809,61866.92818,164626.3326,270314.9564,420975.9393,442128.8879,114984.8396,464215.9252,,,,177358.0834,299291.4972,47814.48206,54996.53973,96883.57515999999,56847.94496,97723.41392000002,124860.8227,279275.4491,122571.4432,149993.1366,73487.99719,37259.46361,30547.45094,77253.31178,40911.79318,195791.9057,83470.26948,46739.20101,1042522.467,444342.2884,3070.937274,13689.92719,4501.176989,2594.61708,22737.06686,33946.61803,26233.51674,107839.7979,18119.48455,6142.325906,2160.295571,6444.595255,8206.086826000001,18334.18424,32940.63774,24783.43687,9547.924224,420545.2224,-3278.424739,,,Total,18,80653.96816,83128.01609,117580.4246,67135.41493,128603.3916,149401.7324,359989.8064,220498.3892,310914.1448,151705.5541,75769.64809,61866.92818,164626.3326,270314.9564,420975.9393,442128.8879,114984.8396,464215.9252,,,,177358.0834,299291.4972,47814.48206,54996.53973,96883.57515999999,56847.94496,97723.41392000002,124860.8227,279275.4491,122571.4432,149993.1366,73487.99719,37259.46361,30547.45094,77253.31178,40911.79318,195791.9057,83470.26948,46739.20101,1042522.467,444342.2884,3070.937274,13689.92719,4501.176989,2594.61708,22737.06686,33946.61803,26233.51674,107839.7979,18119.48455,6142.325906,2160.295571,6444.595255,8206.086826000001,18334.18424,32940.63774,24783.43687,9547.924224,420545.2224,-3278.424739
,Value added,19,32839.48609,28131.47636,20696.84945,10287.46997,30879.97765,24540.90971,80714.35731000001,97926.94595,160921.0082,78217.55686,38510.18448000001,31319.47724,87373.0208,229403.1632,225184.0337,358658.6184,68245.63864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Value added,19,32839.48609,28131.47636,20696.84945,10287.46997,30879.97765,24540.90971,80714.35731000001,97926.94595,160921.0082,78217.55686,38510.18448000001,31319.47724,87373.0208,229403.1632,225184.0337,358658.6184,68245.63864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
